model,forecast_date,target,target_week_end,national_raw_error,national_log_difference,national_percentage_error,national_bre,cc_national_score,cc_national_rank,cc_national_rank_percentile,state_point_forecasts_num,state_log_difference_squared,state_pearson_fit_statistic,state_mean_absolute_error,state_geo_mean_log_difference,state_median_log_difference,state_bre,state_bre_signed,state_pred_25,state_missed_by_2x,state_rmse,state_mape,state_smape,cc_state_point_score,cc_state_point_rank,cc_state_point_rank_percentile,state_range_forecasts_num,state_range_capture_rate_95pi,state_range_capture_rate_50pi,state_range_10th_percentile_width,state_range_25th_percentile_width,state_range_50th_percentile_width,state_range_average_width,state_range_75th_percentile_width,state_range_90th_percentile_width,state_ranges_gt_4x,state_ranges_gt_10x,state_ranges_95PI_score,state_ranges_interval_normalized,state_ranges_precision_raw,state_ranges_precision_95pi_adjusted,cc_state_range_score,cc_state_range_rank,cc_state_range_rank_percentile,cc_state_range_score_v2,cc_state_range_rank_v2,cc_state_range_rank_percentile_v2,state_ranges_50PI_score,state_ranges_synthetic_wis,state_ranges_synthetic_wis_sharpness,state_ranges_synthetic_wis_penalty,state_ranges_synthetic_wis_rank_percentile,state_mean_absolute_error_rank_percentile,state_log_difference_squared_rank_percentile,state_pearson_rank_percentile,state_log_difference_geo_mean_rank_percentile,state_rmse_rank_percentile,state_mape_rank_percentile,state_smape_rank_percentile,state_bre_rank_percentile,state_pred25_rank_percentile
YYG,7/20/2020,4 wk ahead inc death,8/15/2020,-7464,-0.279,-24.38%,-32.23%,0%,14,50.00%,51,11.43,4027,191.27,26.65%,-11.93%,52.35%,-20.19%,31.37%,9.80%,526.3,33.82%,35.58%,52.03%,4,80.00%,51,94.12%,0,3.765,5.058,8.6,9.183,10.935,15.286,76.47%,31.37%,69657,134.6,22.05%,46.02%,18.60%,15,30.00%,69.94%,5,80.00%,121868,326.5,15.55,310.96,80.00%,76.19%,90.48%,85.71%,80.95%,47.62%,95.24%,90.48%,80.95%,61.91%
Baseline,7/27/2020,1 wk ahead inc death,8/1/2020,-2472,-0.348,-29.40%,-41.64%,0%,24,25.81%,51,19.02,1548.38,61.24,35.69%,-25.89%,74.43%,-5.69%,31.37%,15.69%,172.86,59.64%,47.00%,25.45%,16,100.00%,51,82.35%,0.392,4,4,4,3.922,4,4,0.00%,0.00%,13037,401.7,40.73%,85.02%,86.70%,1,100.00%,84.44%,1,100.00%,10328,37.46,10.26,27.2,100.00%,30.77%,53.85%,42.31%,38.46%,30.77%,42.31%,46.15%,46.15%,38.46%
CMU,7/27/2020,1 wk ahead inc death,8/1/2020,NA,NA,NA,NA,NA,NA,NA,51,18.1,1529.6,54.57,33.38%,-23.36%,71.65%,-8.70%,35.29%,9.80%,161.44,56.71%,45.08%,34.31%,13,39.13%,51,68.63%,0.02,1.776,1.9,2.684,27.044,5.142,66,21.57%,13.73%,56717,252.3,32.14%,67.11%,49.50%,5,82.61%,61.42%,8,69.57%,33536,105.48,1.99,103.49,39.13%,50.00%,61.54%,46.15%,42.31%,46.15%,46.15%,57.69%,53.85%,61.54%
Columbia,7/27/2020,1 wk ahead inc death,8/1/2020,-846,-0.106,-10.06%,-11.19%,75%,6,83.87%,51,39.88,1302.3,50.1,36.96%,2.21%,55.97%,26.21%,27.45%,17.65%,136.82,62.37%,56.30%,28.01%,15,82.61%,51,82.35%,0.02,2.227,2.891,4.694,16.628,13,52,49.02%,23.53%,29713,276.8,23.44%,48.93%,35.10%,9,65.22%,60.61%,9,65.22%,33536,93.77,2.97,90.8,82.61%,69.23%,3.85%,65.39%,30.77%,80.77%,30.77%,23.08%,76.92%,26.92%
Columbia-UNC,7/27/2020,1 wk ahead inc death,8/1/2020,-1500,-0.196,-17.84%,-21.71%,75%,13,61.29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Covid19Sim,7/27/2020,1 wk ahead inc death,8/1/2020,-2572,-0.365,-30.59%,-44.06%,0%,25,22.58%,51,12.1,1224.01,53.04,31.15%,-14.29%,53.38%,0.57%,43.14%,11.77%,163.09,44.86%,37.16%,49.58%,8,30.44%,51,35.29%,0.02,1.068,1.107,1.212,2.129,2.292,4.4,5.88%,0.00%,90485,434.3,71.38%,100.00%,31.00%,12,52.17%,37.15%,17,30.43%,33536,119.04,0.44,118.6,30.43%,57.69%,96.15%,69.23%,57.69%,42.31%,84.62%,96.15%,84.62%,84.62%
DDS,7/27/2020,1 wk ahead inc death,8/1/2020,-640,-0.079,-7.61%,-8.24%,90%,4,90.32%,51,16.33,1523.44,49.92,32.41%,-13.76%,65.14%,-5.06%,37.26%,13.73%,110.07,52.73%,42.49%,40.17%,9,91.30%,51,90.20%,0.02,3.632,3.887,4.643,7.647,8.115,18,45.10%,19.61%,13738,156.7,27.77%,57.97%,47.50%,7,73.91%,77.27%,5,82.61%,33536,87.22,4.45,82.76,91.30%,73.08%,73.08%,50.00%,50.00%,92.31%,53.85%,65.39%,61.54%,69.23%
Ensemble,7/27/2020,1 wk ahead inc death,8/1/2020,-1500,-0.196,-17.84%,-21.71%,75%,13,61.29%,51,12.34,1103.05,51.73,30.13%,-16.25%,52.72%,-15.91%,39.22%,9.80%,154.59,40.94%,40.41%,50.99%,7,52.17%,51,84.31%,0.02,2.247,2.778,3.275,5.679,6.667,14,29.41%,13.73%,48149,137.8,36.44%,76.08%,57.80%,3,91.30%,83.03%,2,95.65%,33536,101.55,2.12,99.43,52.17%,61.54%,88.46%,76.92%,61.54%,53.85%,92.31%,76.92%,92.31%,76.92%
ERDC,7/27/2020,1 wk ahead inc death,8/1/2020,275,0.032,3.27%,3.27%,100%,2,96.77%,51,27.29,5051.66,82.51,40.03%,24.07%,99.28%,70.31%,25.49%,31.37%,196.11,95.20%,54.92%,4.63%,22,4.35%,51,11.77%,0.02,1.088,1.123,1.174,1.324,1.399,1.591,0.00%,0.00%,144677,1487.7,86.94%,100.00%,12.40%,19,21.74%,12.38%,22,8.70%,33536,145.68,0.51,145.18,4.35%,11.54%,15.39%,3.85%,19.23%,23.08%,3.85%,30.77%,15.39%,19.23%
ESG,7/27/2020,1 wk ahead inc death,8/1/2020,-3634,-0.566,-43.22%,-76.11%,0%,30,6.45%,49,37.19,2896.65,89.53,55.44%,-57.57%,136.63%,-93.49%,14.29%,42.86%,230.21,60.66%,70.43%,0.00%,27,0.00%,49,8.16%,0.02,1.027,1.038,1.13,1.354,1.333,2,0.00%,0.00%,161418,966.1,86.80%,100.00%,8.30%,20,17.39%,-1.41%,23,4.35%,33160,158.44,0.35,158.09,0.00%,3.85%,7.69%,19.23%,0.00%,7.69%,38.46%,0.00%,0.00%,0.00%
Geneva,7/27/2020,1 wk ahead inc death,8/1/2020,NA,NA,NA,NA,NA,NA,NA,51,26.75,11589.28,60.49,28.93%,-17.44%,134.83%,75.55%,33.33%,13.73%,141.63,126.17%,45.09%,24.64%,17,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.62%,23.08%,0.00%,65.39%,73.08%,0.00%,53.85%,3.85%,46.15%
GT-DeepCOVID,7/27/2020,1 wk ahead inc death,8/1/2020,-1423,-0.185,-16.92%,-20.37%,75%,11,67.74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IHME,7/27/2020,1 wk ahead inc death,8/1/2020,-2192,-0.302,-26.07%,-35.26%,0%,22,32.26%,51,25.23,2159.1,64.08,37.39%,-22.88%,75.36%,-30.72%,33.33%,27.45%,169.27,52.30%,57.73%,8.83%,21,56.52%,51,68.63%,0.02,14,28,172,420.824,430,742,66.67%,66.67%,42051,359.6,1.75%,3.66%,2.10%,23,4.35%,0.00%,23,4.35%,33536,100.94,4.38,96.56,56.52%,26.92%,30.77%,26.92%,26.92%,38.46%,57.69%,15.39%,42.31%,46.15%
ISU,7/27/2020,1 wk ahead inc death,8/1/2020,-2210,-0.305,-26.28%,-35.65%,0%,23,29.03%,49,25.81,1465.48,59.49,36.62%,-33.38%,95.71%,-56.50%,20.41%,24.49%,153.91,51.12%,57.58%,0.92%,26,26.09%,49,40.82%,0,1.453,1.624,2,3.14,2.75,9.2,10.20%,0.00%,79177,471,55.94%,100.00%,31.00%,12,52.17%,32.97%,20,17.39%,33520,119.71,1.03,118.68,26.09%,38.46%,26.92%,53.85%,34.62%,57.69%,65.39%,19.23%,23.08%,3.85%
JCB,7/27/2020,1 wk ahead inc death,8/1/2020,-1790,-0.239,-21.29%,-27.04%,75%,18,45.16%,51,12.22,951.59,47.76,28.03%,-7.02%,50.98%,4.83%,47.06%,9.80%,147.38,45.83%,37.29%,60.23%,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.62%,92.31%,96.15%,73.08%,65.39%,80.77%,92.31%,100.00%,92.31%
JHU,7/27/2020,1 wk ahead inc death,8/1/2020,-1364,-0.177,-16.22%,-19.36%,75%,10,70.97%,51,23.66,2062.24,64.98,32.63%,22.31%,90.41%,51.02%,35.29%,17.65%,197.06,80.14%,44.75%,20.44%,18,60.87%,51,92.16%,0.02,3.371,4.139,6.971,19.052,15.6,60,68.63%,37.26%,41476,283.9,18.04%,37.65%,24.80%,15,39.13%,58.14%,10,60.87%,33536,100.85,4.82,96.03,60.87%,23.08%,38.46%,30.77%,46.15%,19.23%,7.69%,61.54%,30.77%,61.54%
Karlen,7/27/2020,1 wk ahead inc death,8/1/2020,-1647,-0.218,-19.59%,-24.36%,75%,17,48.39%,51,14.78,1031.74,42.9,27.55%,-12.74%,61.48%,-1.84%,41.18%,13.73%,138.68,49.88%,38.84%,53.19%,5,65.22%,51,82.35%,0.02,1.733,2.041,2.509,7.52,7.667,18,31.37%,23.53%,46461,202.9,37.51%,78.32%,53.70%,4,86.96%,81.99%,3,91.30%,33536,99.51,1.9,97.61,65.22%,92.31%,76.92%,88.46%,80.77%,76.92%,73.08%,84.62%,69.23%,80.77%
LANL,7/27/2020,1 wk ahead inc death,8/1/2020,-3457,-0.53,-41.11%,-69.81%,0%,27,16.13%,51,26.98,3210.47,83.73,44.67%,-41.55%,97.29%,-37.96%,21.57%,39.22%,241.05,63.02%,60.32%,1.49%,24,34.78%,51,86.28%,0.02,3.943,5.329,8.4,15.216,18.5,40,78.43%,37.26%,76938,256.2,17.30%,36.11%,8.30%,20,17.39%,50.00%,15,39.13%,33536,118.2,3.11,115.08,34.78%,7.69%,19.23%,11.54%,11.54%,3.85%,26.92%,7.69%,19.23%,11.54%
LNQ,7/27/2020,1 wk ahead inc death,8/1/2020,-1560,-0.205,-18.55%,-22.78%,75%,16,51.61%,51,23.16,1168.12,53.45,31.73%,-33.65%,57.42%,-42.63%,35.29%,17.65%,158.82,39.98%,53.03%,28.03%,14,86.96%,51,98.04%,0.02,6.295,10.29,18.778,38.181,54,86,98.04%,74.51%,12748,211.4,8.35%,17.44%,0.00%,24,0.00%,31.84%,18,26.09%,33536,87.35,5.01,82.34,86.96%,53.85%,42.31%,73.08%,53.85%,50.00%,96.15%,34.62%,73.08%,61.54%
LSHTM,7/27/2020,1 wk ahead inc death,8/1/2020,-172,-0.021,-2.05%,-2.09%,100%,1,100.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIT-CovAlliance,7/27/2020,1 wk ahead inc death,8/1/2020,-3966,-0.638,-47.16%,-89.26%,0%,31,3.23%,51,24.87,3618.2,96.2,45.42%,-31.85%,91.77%,-46.47%,23.53%,27.45%,286.86,53.15%,59.01%,3.29%,23,8.70%,51,80.39%,0.02,7.815,8.008,8.125,8.679,8.838,11,76.47%,13.73%,99905,218.8,21.19%,44.23%,4.10%,22,8.70%,53.52%,11,56.52%,33536,129.48,3.47,126.01,8.70%,0.00%,34.62%,7.69%,7.69%,0.00%,50.00%,11.54%,26.92%,15.39%
MOBS,7/27/2020,1 wk ahead inc death,8/1/2020,-1554,-0.204,-18.48%,-22.67%,75%,15,54.84%,50,19.9,3161.21,69.52,39.39%,-13.93%,76.29%,2.10%,30.00%,22.00%,199.06,62.05%,49.60%,12.54%,19,17.39%,50,58.00%,0.02,1.418,1.836,2.387,6.054,4.875,12.009,24.00%,14.00%,82010,340,42.98%,89.74%,35.10%,9,65.22%,55.00%,14,43.48%,33520,120.21,2.04,118.17,17.39%,19.23%,50.00%,15.39%,23.08%,15.39%,34.62%,42.31%,38.46%,34.62%
NotreDame-Mobility,7/27/2020,1 wk ahead inc death,8/1/2020,-3470,-0.532,-41.27%,-70.26%,0%,28,12.90%,51,27.94,2176.03,77.76,49.38%,-54.47%,104.39%,-41.79%,21.57%,35.29%,199.1,65.60%,55.78%,1.49%,24,13.04%,51,64.71%,0.02,2.383,3.084,7.783,20.591,23,41.667,49.02%,37.26%,84250,301.7,18.55%,38.73%,16.50%,18,26.09%,30.57%,19,21.74%,33536,120.27,2.11,118.16,13.04%,15.39%,11.54%,23.08%,3.85%,11.54%,15.39%,26.92%,11.54%,11.54%
Oliver Wyman,7/27/2020,1 wk ahead inc death,8/1/2020,-1850,-0.248,-22.00%,-28.21%,75%,19,41.94%,51,13.41,1048.22,49.22,26.50%,-17.52%,54.92%,-15.77%,39.22%,13.73%,145.3,41.79%,40.85%,52.35%,6,78.26%,51,92.16%,0.02,2.575,3.719,7.719,45.581,29,110,68.63%,43.14%,32787,140.6,14.19%,29.62%,24.80%,15,39.13%,47.47%,16,34.78%,33536,94.89,3.23,91.66,78.26%,80.77%,80.77%,84.62%,96.15%,69.23%,88.46%,73.08%,80.77%,76.92%
PSI,7/27/2020,1 wk ahead inc death,8/1/2020,-1017,-0.129,-12.09%,-13.76%,75%,7,80.65%,51,41.2,1415.78,46.51,43.88%,-37.84%,125.96%,-56.07%,27.45%,31.37%,82.3,71.40%,63.03%,11.69%,20,47.83%,51,49.02%,0.02,1.423,1.607,1.923,5.02,4,9,17.65%,5.88%,51110,548.4,50.39%,100.00%,33.00%,11,56.52%,51.60%,12,52.17%,33536,101.96,1.27,100.69,47.83%,88.46%,0.00%,57.69%,15.39%,100.00%,11.54%,3.85%,7.69%,26.92%
QJHong,7/27/2020,1 wk ahead inc death,8/1/2020,-1452,-0.19,-17.27%,-20.87%,75%,12,64.52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STH,7/27/2020,1 wk ahead inc death,8/1/2020,-1267,-0.163,-15.07%,-17.74%,75%,8,77.42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA,7/27/2020,1 wk ahead inc death,8/1/2020,-1319,-0.171,-15.69%,-18.60%,75%,9,74.19%,51,17.35,889.49,41.1,24.77%,-10.54%,64.88%,-2.89%,50.98%,13.73%,122.87,50.77%,40.13%,57.72%,4,43.48%,51,49.02%,0.02,1.211,1.394,1.657,2.559,2.236,5,5.88%,0.00%,60477,455.6,63.84%,100.00%,45.40%,8,69.57%,51.60%,12,52.17%,33536,104.96,0.65,104.31,43.48%,100.00%,69.23%,100.00%,100.00%,88.46%,69.23%,80.77%,65.39%,100.00%
UCLA,7/27/2020,1 wk ahead inc death,8/1/2020,-838,-0.105,-9.97%,-11.07%,75%,5,87.10%,51,20.67,1633.55,49.88,28.27%,-14.95%,78.55%,1.85%,37.26%,15.69%,127.62,64.02%,50.35%,37.92%,10,21.74%,51,17.65%,0.02,1.046,1.058,1.085,1.58,1.217,2,0.00%,0.00%,93653,1051.4,84.48%,100.00%,18.60%,17,30.43%,18.58%,21,13.04%,33536,119.85,0.19,119.67,21.74%,76.92%,46.15%,38.46%,69.23%,84.62%,23.08%,38.46%,34.62%,69.23%
UCM,7/27/2020,1 wk ahead inc death,8/1/2020,-3582,-0.555,-42.60%,-74.21%,0%,29,9.68%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM,7/27/2020,1 wk ahead inc death,8/1/2020,-3984,-0.642,-47.38%,-90.03%,0%,32,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UMass-MB,7/27/2020,1 wk ahead inc death,8/1/2020,-1955,-0.265,-23.25%,-30.29%,0%,20,38.71%,51,18.54,2006.9,54.69,26.61%,-19.67%,73.97%,12.97%,35.29%,13.73%,170.83,64.74%,41.01%,36.62%,12,73.91%,51,84.31%,0.02,2.71,3.231,4,5.596,5.611,11.5,25.49%,11.77%,33581,263.7,34.64%,72.31%,61.90%,2,95.65%,81.09%,4,86.96%,33536,96.05,2.98,93.07,73.91%,46.15%,57.69%,34.62%,88.46%,34.62%,19.23%,69.23%,50.00%,61.54%
USC,7/27/2020,1 wk ahead inc death,8/1/2020,-2888,-0.421,-34.34%,-52.31%,0%,26,19.36%,51,17.81,1406.72,57.2,27.12%,-28.77%,69.44%,-17.75%,29.41%,13.73%,180.05,51.83%,46.11%,36.86%,11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.31%,65.39%,61.54%,84.62%,26.92%,61.54%,50.00%,57.69%,30.77%
UT,7/27/2020,1 wk ahead inc death,8/1/2020,-331,-0.04,-3.94%,-4.10%,100%,3,93.55%,51,12.75,1019.53,41.98,27.87%,-8.26%,53.34%,8.79%,47.06%,9.80%,86.66,48.43%,38.48%,59.71%,2,95.65%,51,86.28%,0.02,2.265,2.823,3.739,8.679,9.875,22,39.22%,21.57%,13196,235.5,30.20%,63.06%,49.50%,5,82.61%,77.17%,6,78.26%,33536,85.78,3.25,82.53,95.65%,96.15%,84.62%,92.31%,76.92%,96.15%,76.92%,88.46%,88.46%,92.31%
YYG,7/27/2020,1 wk ahead inc death,8/1/2020,-2016,-0.274,-23.97%,-31.53%,0%,21,35.48%,51,12.04,1056.73,51.16,26.54%,-11.12%,51.95%,-17.32%,49.02%,11.77%,153.59,37.16%,35.59%,58.52%,3,69.57%,51,84.31%,0.02,2.363,3.47,6.471,8.051,8.31,11,58.82%,11.77%,35886,136.5,28.42%,59.32%,26.80%,14,43.48%,72.20%,7,73.91%,33536,96.45,3.07,93.38,69.57%,65.39%,100.00%,80.77%,92.31%,61.54%,100.00%,100.00%,96.15%,96.15%
Baseline,7/27/2020,2 wk ahead inc death,8/8/2020,-4335,-0.311,-26.74%,-36.51%,0%,24,25.81%,51,16.28,2730.66,112.73,27.24%,-15.76%,60.31%,-17.87%,35.29%,17.65%,298.98,43.69%,41.94%,44.45%,10,100.00%,51,82.35%,0.451,3.75,3.947,3.992,3.846,4,4,0.00%,0.00%,25025,242.9,41.38%,86.38%,86.70%,1,100.00%,84.83%,1,100.00%,18518,68.29,20.47,47.82,100.00%,32.00%,56.00%,56.00%,64.00%,36.00%,56.00%,52.00%,48.00%,56.00%
CMU,7/27/2020,2 wk ahead inc death,8/8/2020,NA,NA,NA,NA,NA,NA,NA,51,11.69,2034.5,94.18,24.43%,-11.04%,44.10%,-8.43%,50.98%,9.80%,272.37,35.37%,32.09%,61.22%,8,60.87%,51,78.43%,0,1.893,2.495,3.261,54.491,5.389,50,29.41%,19.61%,55075,160.6,26.84%,56.03%,51.60%,4,86.96%,63.23%,7,73.91%,64536,179.24,5.15,174.1,60.87%,60.00%,76.00%,68.00%,80.00%,40.00%,84.00%,84.00%,84.00%,96.00%
Columbia,7/27/2020,2 wk ahead inc death,8/8/2020,-111,-0.007,-0.69%,-0.69%,100%,1,100.00%,51,56.45,2957.09,92.8,33.16%,9.53%,57.64%,37.18%,27.45%,25.49%,217.28,63.82%,57.51%,28.65%,16,91.30%,51,92.16%,0,2.792,3.752,6.69,30.11,27,106,62.75%,29.41%,25487,210.2,16.27%,33.97%,31.00%,10,60.87%,53.41%,10,60.87%,64536,166.95,8.09,158.86,91.30%,64.00%,0.00%,52.00%,36.00%,84.00%,12.00%,12.00%,64.00%,32.00%
Columbia-UNC,7/27/2020,2 wk ahead inc death,8/8/2020,-2484,-0.166,-15.33%,-18.10%,75%,17,48.39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Covid19Sim,7/27/2020,2 wk ahead inc death,8/8/2020,-3542,-0.247,-21.85%,-27.96%,75%,22,32.26%,51,8.03,1542.93,77.47,24.38%,-6.91%,40.82%,4.58%,47.06%,9.80%,222.34,34.35%,29.94%,68.01%,4,39.13%,51,35.29%,0,1.062,1.115,1.222,2.334,2.333,4.4,7.84%,1.96%,123328,316.6,70.28%,100.00%,28.90%,11,56.52%,37.15%,16,34.78%,64536,204.57,0.89,203.69,39.13%,88.00%,100.00%,92.00%,84.00%,80.00%,92.00%,100.00%,96.00%,84.00%
DDS,7/27/2020,2 wk ahead inc death,8/8/2020,2704,0.154,16.68%,16.68%,75%,15,54.84%,51,13.3,5203.7,107.08,28.66%,-4.26%,58.21%,-3.64%,27.45%,13.73%,268.61,43.51%,38.31%,42.59%,11,73.91%,51,88.24%,0,4.165,4.39,5.455,12.923,11.089,36,62.75%,25.49%,42002,168,21.45%,44.77%,26.80%,13,47.83%,62.38%,8,69.57%,64536,175.88,12.94,162.93,73.91%,48.00%,72.00%,24.00%,60.00%,44.00%,60.00%,64.00%,60.00%,32.00%
Ensemble,7/27/2020,2 wk ahead inc death,8/8/2020,-2049,-0.135,-12.64%,-14.47%,75%,14,58.07%,51,9.37,1725.19,87.63,20.93%,-8.70%,37.44%,-12.34%,58.82%,5.88%,250.33,28.82%,30.69%,71.17%,1,65.22%,51,92.16%,0,2.443,3.045,3.808,8.605,7.925,20,41.18%,17.65%,57216,103.8,30.20%,63.04%,53.70%,3,91.30%,83.35%,2,95.65%,64536,179.12,4.83,174.29,65.22%,80.00%,88.00%,80.00%,100.00%,60.00%,100.00%,92.00%,100.00%,100.00%
ERDC,7/27/2020,2 wk ahead inc death,8/8/2020,2270,0.131,14.01%,14.01%,75%,12,64.52%,51,27.84,11256.7,160.98,41.62%,34.77%,100.12%,80.96%,29.41%,29.41%,329.31,96.48%,52.90%,4.75%,24,4.35%,51,13.73%,0,1.094,1.125,1.17,1.316,1.369,1.628,0.00%,0.00%,279407,1470.8,87.19%,100.00%,14.40%,18,26.09%,14.45%,22,8.70%,64536,281.09,1.06,280.02,4.35%,8.00%,28.00%,0.00%,16.00%,20.00%,0.00%,32.00%,8.00%,40.00%
ESG,7/27/2020,2 wk ahead inc death,8/8/2020,-6826,-0.547,-42.11%,-72.75%,0%,31,3.23%,49,39.7,5437.06,167.22,52.75%,-58.35%,140.93%,-101.49%,18.37%,46.94%,410.33,57.79%,67.35%,0.00%,26,0.00%,49,10.20%,0,1.02,1.057,1.124,1.616,1.333,4,0.00%,0.00%,298485,979.6,82.03%,100.00%,10.30%,20,17.39%,0.74%,23,4.35%,63680,298.66,0.73,297.93,0.00%,4.00%,8.00%,20.00%,0.00%,8.00%,20.00%,0.00%,0.00%,0.00%
GT-DeepCOVID,7/27/2020,2 wk ahead inc death,8/8/2020,-2566,-0.172,-15.83%,-18.81%,75%,18,45.16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IHME,7/27/2020,2 wk ahead inc death,8/8/2020,-3271,-0.225,-20.18%,-25.28%,75%,20,38.71%,51,31.68,3940.54,110.41,36.55%,-25.63%,78.07%,-30.34%,23.53%,33.33%,256.92,52.62%,56.43%,12.21%,19,47.83%,51,72.55%,0,28,56,376,929.451,905,1522,72.55%,72.55%,62741,359.7,0.89%,1.86%,0.00%,22,8.70%,0.00%,23,4.35%,64536,184.86,9.68,175.18,47.83%,36.00%,12.00%,32.00%,32.00%,52.00%,40.00%,16.00%,40.00%,8.00%
ISU,7/27/2020,2 wk ahead inc death,8/8/2020,-4450,-0.321,-27.45%,-37.84%,0%,25,22.58%,49,28.61,2326.75,109.45,39.67%,-36.57%,91.24%,-61.87%,24.49%,38.78%,257.84,47.39%,57.63%,2.52%,25,26.09%,49,46.94%,0,1.597,1.787,2.267,4.578,3.205,12.8,10.20%,6.12%,120777,383.3,48.62%,100.00%,37.20%,7,73.91%,39.41%,18,26.09%,64492,216.14,2.47,213.67,26.09%,40.00%,24.00%,64.00%,24.00%,48.00%,52.00%,8.00%,20.00%,12.00%
JCB,7/27/2020,2 wk ahead inc death,8/8/2020,-1249,-0.08,-7.71%,-8.35%,90%,5,87.10%,51,8.21,1294.12,73.88,21.46%,10.70%,42.30%,14.39%,43.14%,5.88%,191.52,37.56%,31.39%,70.73%,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.00%,96.00%,100.00%,96.00%,96.00%,76.00%,88.00%,88.00%,76.00%
JHU,7/27/2020,2 wk ahead inc death,8/8/2020,-956,-0.061,-5.90%,-6.27%,90%,4,90.32%,51,22.85,3791.85,124.51,40.46%,42.26%,88.69%,47.89%,29.41%,25.49%,314.74,74.31%,49.70%,14.22%,18,78.26%,51,92.16%,0,3.456,4.406,7.676,32.131,18.148,111,70.59%,37.26%,35122,239.2,15.31%,31.96%,22.70%,15,39.13%,50.72%,11,56.52%,64536,175.73,10.75,164.98,78.26%,24.00%,44.00%,40.00%,20.00%,24.00%,4.00%,40.00%,32.00%,40.00%
Karlen,7/27/2020,2 wk ahead inc death,8/8/2020,-1616,-0.105,-9.97%,-11.07%,75%,9,74.19%,51,10.22,1609.96,74.27,25.22%,-8.96%,47.30%,-7.78%,45.10%,9.80%,213.42,35.37%,33.06%,64.42%,6,56.52%,51,86.28%,0,1.876,2.266,2.883,11.025,7.054,36,33.33%,21.57%,69695,187.4,31.80%,66.40%,55.70%,2,95.65%,79.52%,3,91.30%,64536,182.18,5.07,177.11,56.52%,92.00%,84.00%,88.00%,72.00%,88.00%,88.00%,80.00%,76.00%,80.00%
